会社名,部署,担当者,事業内容,課題仮説,HP,フォームURL
株式会社ジーニー,開発部,ご担当者,"Webアプリ・サービス運営（デザイン・クラウド系/SaaS/ASPサービス・Web制作）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://geniee.co.jp/company/outline/,https://geniee.co.jp/inquiry/
シンプレクス株式会社,開発部,ご担当者,"Webアプリ・サービス運営を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模300億円以上1,000億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.simplex.inc/company/about/,http://www.simplex.ne.jp/contact/
ニフティ株式会社,開発部,ご担当者,"Webアプリ・サービス運営（デジタル系コンテンツ・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模300億円以上1,000億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.nifty.co.jp/company/outline,https://support.nifty.com/form/0/kojinjoho/
株式会社アイ・ディ・エイチ,開発部,ご担当者,"Webアプリ・サービス運営を手がける企業。本社埼玉県。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://idh-net.co.jp/,https://idh-net.co.jp/contact
株式会社アトラス,開発部,ご担当者,"ゲーム開発（CD・レコード販売・その他ゲーム・CM制作・映像制作）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",ゲーム本体の開発にエンジニアを集中させたい一方、公式サイト・運営管理ツール・Web版の改修が後回しになりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.atlus.co.jp/company,https://pro.form-mailer.jp/fms/1246530f118006
日本ウェブサービス株式会社,開発部,ご担当者,"Webアプリ・サービス運営（その他IT・ITコンサル・ITインフラストラクチャー）を手がける企業。本社大阪府。従業員300人以上1,000人未満。売上規模3億円以上10億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,http://jpn-web.co.jp/company/,https://jpn-web.co.jp/contact/index.html
東芝テリー株式会社,開発部,ご担当者,"Webアプリ・サービス運営（その他通信）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.toshiba-teli.co.jp/company/profile.htm,https://www.toshiba.co.jp/jp/contact/corporate.html
株式会社Preferred Networks,開発部,ご担当者,"Webアプリ・サービス運営（その他製造）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.preferred.jp/ja/company/,https://www.preferred-networks.jp/ja/contact/
株式会社PKSHA Technology,開発部,ご担当者,"Webアプリ・サービス運営（ソフトウェア販売・受託開発・その他コンサル）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.pkshatech.com/company/about/,https://pkshatech.com/ja/contact/
株式会社ドキドキグルーヴワークス,開発部,ご担当者,"ゲーム開発（デザイン・ソーシャルゲーム・スマホゲーム）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",ゲーム本体の開発にエンジニアを集中させたい一方、公式サイト・運営管理ツール・Web版の改修が後回しになりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://dokidoki.co.jp/company/information/,http://dokidoki.co.jp/contact/
株式会社TOKIUM,開発部,ご担当者,"Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス・財務コンサル・その他IT）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://corp.tokium.jp/company/about/,https://beartail.jp/contact/
株式会社ワンキャリア,開発部,ご担当者,"Webアプリ・サービス運営（人材紹介・職業紹介所・その他コンサル）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://onecareer.co.jp/about/,https://onecareer.co.jp/contact/
株式会社クラウドワークス,開発部,ご担当者,"Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス・ITコンサル・人材紹介）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://crowdworks.co.jp/company,https://crowdworks.co.jp/contact/
株式会社イルカ,開発部,ご担当者,"ゲーム開発（経営コンサル・動画制作・CG制作・映画・アニメーション）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",ゲーム本体の開発にエンジニアを集中させたい一方、公式サイト・運営管理ツール・Web版の改修が後回しになりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.ilca.co.jp/company/,http://www.ilca.co.jp/contact/
丸紅ITソリューションズ株式会社,開発部,ご担当者,"Webアプリ・サービス運営（ITコンサル・受託開発）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.marubeni-itsol.com/corp/office/hq.html,https://www.marubeni-itsol.com/cgi-bin/contactus/001/index.html
デンツプライシロナ株式会社,情報システム部,ご担当者,"医療機器（その他製造）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,http://www.dentsply-sankin.com/index.php,http://www.dentsply-sankin.com/ja-jp/service/contact.html
クラレノリタケデンタル株式会社,情報システム部,ご担当者,"医療機器（その他製造・研究・調査・リサーチ）を手がける企業。本社岡山県。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",製品情報サイトや顧客向けポータル、社内システムのWeb化を進めたいが、社内にフロントエンド開発の専任者がおらず外注先の品質もばらつく。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.kuraraynoritake.jp/corporate/about.html,http://www.kuraraynoritake.jp/contact/contact.html
Supership株式会社,開発部,ご担当者,"クラウド系/SaaS/ASPサービス（コンテンツ制作・その他コンサル・Webマーケコンサル）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模3億円以上10億円未満。",顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://supership.jp/about/company/,https://docs.google.com/forms/d/e/1FAIpQLSdPKJmasNbgWElJAaeEt0-G6yvppZeCMLXmbEoZ8FlvKSC9hg/viewform
株式会社SUPER STUDIO,開発部,ご担当者,"クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.super-studio.jp/about,https://super-studio.jp/inquiry
株式会社ROXX,開発部,ご担当者,"Webアプリ・サービス運営（その他IT・その他人材・職業紹介所）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://roxx.co.jp/,https://get-shukatsu.com/contact/
AnyMind Japan株式会社,開発部,ご担当者,"Webアプリ・サービス運営（販促コンサル）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://anymindgroup.com/ja/,https://adasiaholdings.com/contact/
株式会社コドモン,開発部,ご担当者,"Webアプリ・サービス運営（その他IT）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.codmon.co.jp/company,https://www.codmon.co.jp/contact
株式会社ビザスク,開発部,ご担当者,"Webアプリ・サービス運営（セミナー・翻訳・通訳・組織コンサル）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://corp.visasq.co.jp/company/base,https://visasq.co.jp/contact
株式会社ツクルバ,開発部,ご担当者,"Webアプリ・サービス運営（不動産売買・仲介・デザイン・レンタルスペース）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://tsukuruba.com/company/outline/,http://tsukuruba.com/inquiry/ir/
株式会社ログラス,開発部,ご担当者,"クラウド系/SaaS/ASPサービスを手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.loglass.co.jp/,https://www.loglass.co.jp/contact
GMOサイバーセキュリティbyイエラエ株式会社,技術部,ご担当者,"情報セキュリティ（その他IT・ITコンサル）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",管理コンソールやダッシュボードのUIが製品評価に直結するのに、セキュリティ専門のエンジニアがUI実装まで抱えており開発が詰まりやすい。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://cocon-corporation.com,https://cocon-corporation.com/contact/
レバテック株式会社,開発部,ご担当者,"Webアプリ・サービス運営（セミナー・職業紹介所・求人媒体運営・求人情報誌出版）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,https://levtech.co.jp/aboutus/company/,https://levtech.jp/contact/recruit
ウェルスナビ株式会社,開発部,ご担当者,"クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.wealthnavi.com/,https://www.wealthnavi.com/support/inquiry
STORES株式会社,開発部,ご担当者,"Webアプリ・サービス運営（その他IT）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.st.inc/company,https://hey.jp/contact
GROOVE X株式会社,開発部,ご担当者,"Webアプリ・サービス運営（クラウド系/SaaS/ASPサービス・産業用ロボット・その他機械）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://groove-x.com/,http://www.groove-x.com/contact/
eBASE-PLUS株式会社,開発部,ご担当者,"Webアプリ・サービス運営（受託開発）を手がける企業。本社大阪府。従業員300人以上1,000人未満。売上規模10億円以上50億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,http://www.ebase-plus.co.jp/index.html,https://www2.ebase-jp.com/support/form/eb_plus_form/recruit_form.html
株式会社hacomono,開発部,ご担当者,"Webアプリ・サービス運営（ジム・フィットネス）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.hacomono.co.jp/company/,https://docs.google.com/forms/d/e/1FAIpQLScecZJI8fbEWm-bzRPCqeGyJ8wcjHQaENCOqydD6hZ3mj88Lw/viewform
株式会社ニーリー,開発部,ご担当者,"Webアプリ・サービス運営（経営コンサル・組織コンサル・受託開発）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.nealle.com/,https://www.nealle.com/#about
サークレイス株式会社,開発部,ご担当者,"Webアプリ・サービス運営（ITコンサル・受託開発・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模10億円以上50億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.circlace.com/,https://www.circlace.com/about/inquiry
株式会社カケハシ,開発部,ご担当者,"Webアプリ・サービス運営（その他IT・医療機器・その他医療・福祉）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.kakehashi.life/corporate,https://kakehashi.life/inquiry.html
株式会社マイベスト,開発部,ご担当者,"Webアプリ・サービス運営（その他IT・デジタル系コンテンツ）を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://my-best.com/company/profile,https://my-best.com/contact
株式会社セルシス,開発部,ご担当者,"Webアプリ・サービス運営を手がける企業。本社東京都。従業員300人以上1,000人未満。売上規模50億円以上300億円未満。",サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.celsys.com/company/,https://www.artspark.co.jp/irinfo_inquiry/
株式会社ヤプリ,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://yappli.co.jp/company/,https://yapp.li/support.html
株式会社TYL,開発部,ご担当者,Webアプリ・サービス運営（人材紹介・求人媒体運営・求人情報誌出版）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://pet-tyl.co.jp/company/,http://pet-tyl.co.jp/contact/
テックファーム株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他IT・受託開発・ITインフラストラクチャー）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。受託案件の波で稼働が上下し、繁忙期だけ経験者を確保する手段がない。,https://www.techfirm.co.jp/company,https://www.techfirm.co.jp/inquiry.html
FutureOne株式会社,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売・人材派遣）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。クライアント案件でフロントエンド要員を求められても、自社で供給しきれないケースがある。,http://www.future-one.co.jp/,https://www.future-one.co.jp/contact.html
株式会社TENTIAL,開発部,ご担当者,クラウド系/SaaS/ASPサービス（化粧品販売・その他広告・制作）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://corp.tential.jp/company/overview/,https://corp.tential.jp/contact
株式会社スタディスト,開発部,ご担当者,Webアプリ・サービス運営（その他IT）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://studist.jp/company/company-profile,http://studist.jp/contact/
株式会社RevComm,開発部,ご担当者,Webアプリ・サービス運営（デジタル系コンテンツ・Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.revcomm.com/ja/,https://www.revcomm.co.jp/contact/
株式会社HRBrain,開発部,ご担当者,クラウド系/SaaS/ASPサービス（Webアプリ・サービス運営）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,顧客要望による管理画面・ダッシュボードの機能追加が続き、フロントエンドの改修がバックログに積み上がっている。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,http://www.mosquitone.co.jp/,https://www.hrbrain.co.jp/contact/
エムシーディースリー株式会社,開発部,ご担当者,Webアプリ・サービス運営（ソフトウェア販売）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://www.mcdata.co.jp/,http://www.mcdata.co.jp/contact/
BASE株式会社,開発部,ご担当者,Webアプリ・サービス運営（その他金融関連サービス）を手がける企業。本社東京都。従業員50人以上300人未満。売上規模50億円以上300億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://binc.jp/,https://binc.jp/contacts
LINE WORKS株式会社,開発部,ご担当者,Webアプリ・サービス運営を手がける企業。本社東京都。従業員50人以上300人未満。売上規模10億円以上50億円未満。,サービスのUI改修や機能追加の要望に対し、フロントエンドの開発リソースが慢性的に不足している。複数プロダクト・大規模UIを内製チームで抱えており、レガシー刷新と新機能開発の並走で負荷が平準化できていない。,https://line-works.com/aboutus/,https://line.worksmobile.com/jp/home/supportpopup
